ST,StdPop_ST,Deaths_ST,Crude_ST,AgeAdj_ST,pop.subset,geo.level,table.id,table.name
NY,70365052,4504,6.400904813,5.313012529,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
NC,34608515,3595,10.38761704,9.510426707,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
ND,2385190,314,13.1645697,11.54191096,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
OH,41342983,4246,10.27018297,8.783523449,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
OK,13370337,1579,11.80972477,10.87596587,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
OR,13678580,1450,10.60051555,9.18497648,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
PA,45612521,4525,9.920521604,7.661203561,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
RI,3807604,329,8.640604433,6.139320332,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
SC,16815724,2088,12.41694975,11.64920631,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
SD,2880800,342,11.8717023,9.857085497,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
TN,22964100,2433,10.59479797,9.616619742,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
TX,90424030,6982,7.721398836,7.793003274,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
UT,9784278,1025,10.47599015,11.46845096,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
VT,2222538,302,13.58806914,10.88691125,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
VA,28829646,2849,9.882188633,9.16907421,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
WA,23908330,2631,11.00453273,9.870380126,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
WV,6566686,718,10.93397796,9.296327378,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
WI,20110307,2137,10.62639173,8.740431641,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
WY,1951055,296,15.17127913,14.72168921,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
