ST,StdPop_ST,Deaths_ST,Crude_ST,AgeAdj_ST,pop.subset,geo.level,table.id,table.name
NJ,61826877,1189,1.923111853,1.807314263,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
NM,14442111,1322,9.153786451,8.924774732,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
NY,136468396,3426,2.510471362,2.364559655,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
NC,67487062,4029,5.970033189,5.754851182,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
ND,4845414,357,7.367791483,7.152797382,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
OH,80842617,4431,5.481019992,5.262572978,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
OK,26472654,2350,8.87708501,8.764211482,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
OR,27073057,2331,8.61003617,8.077262044,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
PA,89064065,5031,5.648742846,5.275373545,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
RI,7374400,191,2.590041224,2.490050758,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
SC,32744318,2419,7.387541252,7.036106589,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
SD,5777731,380,6.576976325,6.553727866,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
TN,44799722,3427,7.64960104,7.333896886,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
TX,179470855,9843,5.484455958,5.613673232,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
UT,19666542,1571,7.98818623,8.686340019,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
VT,4380714,368,8.400457094,7.708222619,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
VA,56660701,3519,6.210653836,5.993286982,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
WA,47707906,3214,6.736828902,6.491272026,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
WV,12956295,1118,8.629010068,8.172680904,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
WI,39931436,2195,5.496922274,5.299832256,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
WY,3981420,502,12.60856679,12.35313847,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
