ST,StdPop_ST,Deaths_ST,Crude_ST,AgeAdj_ST,pop.subset,geo.level,table.id,table.name
NJ,61826877,6141,9.932573499,9.323179341,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NM,14442111,3151,21.81814002,21.47168588,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NY,136468396,16266,11.91924319,11.05797878,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NC,67487062,13101,19.41260978,18.96044644,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
ND,4845414,1221,25.19908516,23.83408807,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
OH,80842617,15307,18.93432025,17.81150456,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
OK,26472654,5962,22.52135354,22.06409255,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
OR,27073057,5687,21.00612428,19.48247258,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
PA,89064065,16503,18.52935861,16.47241048,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
RI,7374400,1006,13.64178781,11.68022483,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
SC,32744318,8027,24.51417678,23.88604466,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
SD,5777731,1312,22.70787615,21.26739451,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
TN,44799722,9102,20.31709036,19.68086185,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
TX,179470855,27619,15.38912822,16.08107104,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
UT,19666542,3920,19.93232974,22.28674864,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
VT,4380714,1108,25.2926806,22.73356245,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
VA,56660701,10831,19.11554183,18.75787405,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
WA,47707906,9644,20.21467888,19.5219419,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
WV,12956295,2789,21.52621563,19.91457884,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
WI,39931436,7664,19.19289855,17.78838693,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
WY,3981420,1233,30.96885031,30.60341721,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
