ST,StdPop_ST,Deaths_ST,Crude_ST,AgeAdj_ST,pop.subset,geo.level,table.id,table.name
NE,1773319,914,51.54176998,48.72159861,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
NV,2426143,1101,45.38067212,50.26388804,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
NH,1317088,600,45.55504264,45.58042295,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
NJ,8574000,2430,28.34149755,27.31413551,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
NM,1999453,964,48.21318631,50.1077258,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
NY,18926125,6292,33.24505148,32.08642873,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
NC,9109095,4251,46.66764371,48.54449486,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
ND,697310,349,50.04947584,46.63935424,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
OH,11719100,5620,47.95590105,46.97911765,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
OK,3658568,1844,50.40223388,51.57506217,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
OR,3938893,2084,52.90826636,52.49922819,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
PA,14081086,6797,48.2704246,45.62451787,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
RI,1093532,519,47.4608882,42.45114771,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
SC,4688090,2076,44.28242632,46.83068305,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
