ST,StdPop_ST,Deaths_ST,Crude_ST,AgeAdj_ST,pop.subset,geo.level,table.id,table.name
NE,12883593,815,6.325875088,6.250411466,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NV,19143270,460,2.40293325,2.385142318,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NH,9237313,409,4.427694504,4.329505195,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NJ,61826877,1367,2.211012534,2.208915273,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NM,14442111,561,3.884473676,3.94866692,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NY,136468396,4171,3.056385304,2.946308418,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NC,67487062,3730,5.526985306,5.504097043,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
ND,4845414,433,8.936284908,8.888551208,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
OH,80842617,3769,4.662144967,4.650692281,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
OK,26472654,1161,4.385657743,4.398535931,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
OR,27073057,1232,4.550649747,4.464594354,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
PA,89064065,3415,3.834318589,3.773935743,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
RI,7374400,162,2.196788891,2.157671424,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
SC,32744318,2928,8.94200942,8.910432356,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
SD,5777731,380,6.576976325,6.456781485,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
TN,44799722,1926,4.299133821,4.278543433,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
TX,179470855,7142,3.979476222,3.969450284,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
UT,19666542,1147,5.83224036,6.041067879,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
VT,4380714,300,6.848198718,6.60073344,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
VA,56660701,3114,5.495872704,5.386356362,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
WA,47707906,2467,5.171050685,5.029567612,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
WV,12956295,462,3.565834214,3.530491578,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
WI,39931436,1895,4.745634492,4.687201205,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
WY,3981420,381,9.569450096,9.464483272,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
