ST,StdPop_ST,Deaths_ST,Crude_ST,AgeAdj_ST,pop.subset,geo.level,table.id,table.name
NY,66103344,11762,17.79335097,17.69995404,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
NC,32878547,9506,28.91246988,29.77272377,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
ND,2460224,907,36.86656174,35.89574586,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
OH,39499634,11061,28.00279111,28.03303783,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
OK,13102317,4383,33.45209859,34.18027333,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
OR,13394477,4237,31.63244074,30.80492831,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
PA,43451544,11978,27.56633918,26.41739064,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
RI,3566796,677,18.98062014,18.34330151,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
SC,15928594,5939,37.28514896,37.52485623,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
SD,2896931,970,33.48371087,33.17761528,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
TN,21835622,6669,30.54183664,31.19610038,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
TX,89046825,20637,23.1754473,25.25509828,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
UT,9882264,2895,29.29490651,33.61023352,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
VT,2158176,806,37.34635173,35.71647658,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
VA,27831055,7982,28.68019197,29.61469227,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
WA,23799576,7013,29.46691151,30.06251037,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
WV,6389609,2071,32.41199892,31.38683775,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
WI,19821129,5527,27.88438539,27.71716957,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
WY,2030365,937,46.14933768,46.42691904,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
