GEOID,NAME,ST,dist_cent,dist_min,pop12,male,Over65,Over75,Deaths,AgeAdj,Crude,StdPop,dist_cent_sens,dist_min_sens,region,division,RUCC_2013,Urbanization,num_provs
21007,Ballard,KY,19.465281528608443,11.051385106368256,8268,0.4910498306724722,0.1762215771649734,0.07801161103047896,NA,NA,NA,57829,19.466342930529855,10.978727688094311,SOUTH,East South Central,9,Rural,0
21017,Bourbon,KY,19.857851483178415,8.835236125504258,20004,0.4888522295540892,0.15876824635072986,0.0673365326934613,38,28.30712115,27.15177844,139954,19.816699764629988,8.793346187672638,SOUTH,East South Central,2,Metro,0
21031,Butler,KY,20.245011887665807,10.79691861798946,12748,0.5021179792908692,0.15696579855663634,0.06526513962974584,NA,NA,NA,89375,20.253204489845412,10.806326548793011,SOUTH,East South Central,3,Metro,0
21065,Estill,KY,36.64025164812204,24.8402588885045,14647,0.4922509728954735,0.15463917525773196,0.05967092237318222,38,35.78593026,37.20565918,102135,36.640452823221885,24.840411451163526,SOUTH,East South Central,6,Nonmetro,0
21069,Fleming,KY,49.87853629013893,39.317849098862304,14415,0.48796392646548736,0.148664585501214,0.06222684703433923,39,40.89627609,38.57452301,101103,49.848096489475964,39.279036647434886,SOUTH,East South Central,7,Nonmetro,0
21093,Hardin,KY,6.577290781277856,0,104513,0.49581391788581325,0.11033077224842842,0.04694152880502904,130,17.96328831,17.62582807,737554,5.311257761164199,0,SOUTH,East South Central,3,Metro,1
21099,Hart,KY,29.784466327572638,20.165678562791147,18278,0.49469307364044207,0.15083707188970347,0.06127585074953496,35,28.01213624,27.20919204,128633,29.754658483893,20.07934465433072,SOUTH,East South Central,8,Rural,0
21131,Leslie,KY,54.00477772268909,42.67204984827283,11318,0.492754903693232,0.14172115214702244,0.05734228662307828,27,35.73076222,34.40191631,78484,53.99726936497409,42.66441031809533,SOUTH,East South Central,9,Rural,0
21151,Madison,KY,22.83380101347618,9.753620669413529,83174,0.4850073340226513,0.11249909827590353,0.04792362998052276,117,20.82441769,19.82069891,590292,22.834170918257126,9.753873841598319,SOUTH,East South Central,4,Nonmetro,0
21155,Marion,KY,34.16645856292399,21.375759854725118,19872,0.5189210950080515,0.13249798711755234,0.06139291465378422,23,15.7523259,16.51729289,139248,35.470911934471715,22.67206544702928,SOUTH,East South Central,7,Nonmetro,0
21179,Nelson,KY,21.683452093332626,7.151572303021987,43500,0.49395402298850577,0.1172183908045977,0.047563218390804594,53,18.10606248,17.28258991,306667,23.024334448270977,8.387893707682846,SOUTH,East South Central,6,Nonmetro,0
17091,Kankakee,IL,1.4570396751304364,0,113170,0.49102235574798975,0.13442608465140937,0.06375364495891138,107,12.16938367,13.55870348,789161,1.3993025047062293,0,MIDWEST,East North Central,3,Metro,2
17187,Warren,IL,43.419128020283985,28.33568624109405,17723,0.48953337471082775,0.16740958077074988,0.08153247192913164,22,17.57397244,17.70381517,124267,43.4136039049434,28.33044363477605,MIDWEST,East North Central,6,Nonmetro,0
17197,Will,IL,9.925943003113993,0,677669,0.4971394589393937,0.09410641478361854,0.039325983629175894,364,8.659142928,7.654076132,4755636,9.925943003113993,0,MIDWEST,East North Central,1,Metro,7
18027,Daviess,IN,42.6138197377899,26.33660179398389,31604,0.49702569295025945,0.1408998860903683,0.06635236046070117,53,23.34320669,23.76148846,223050,42.6104440106318,26.332898175005607,MIDWEST,East North Central,7,Nonmetro,0
18061,Harrison,IN,16.52565718635462,6.916108807188468,39102,0.4997186844662677,0.13943020817349497,0.059715615569536085,60,20.78131284,21.90924461,273857,16.737300307191212,7.1373379935483845,MIDWEST,East North Central,1,Metro,0
01001,Autauga,AL,23.90725616356181,7.936654743141539,54590,0.48613299139036453,0.12258655431397691,0.04552115772119436,75,19.67712862,19.58321692,382981,23.90725616356181,7.936654743141539,SOUTH,East South Central,2,Metro,0
01005,Barbour,AL,43.68323779875427,26.31629537040692,27469,0.5369325421384106,0.1462011722305144,0.06272525392260367,42,21.1065446,21.96871028,191181,43.69154931244852,26.323147249362716,SOUTH,East South Central,6,Nonmetro,0
01023,Choctaw,AL,35.00325019804798,16.635062523545248,13838,0.48388495447318974,0.1855036855036855,0.07941899118369707,38,40.66483443,39.6527256,95832,35.00325019804798,16.635062523545248,SOUTH,East South Central,9,Rural,0
01035,Conecuh,AL,63.15515489059201,50.106540786475996,13188,0.4875644525326054,0.18259023354564755,0.07734303912647862,33,37.68192705,36.02777414,91596,70.44069301455494,50.48792454890291,SOUTH,East South Central,7,Nonmetro,0
01051,Elmore,AL,17.948829853799765,3.5810387709100753,79330,0.4893735030883651,0.12013109794529182,0.04708181016009076,94,16.52031165,16.85212973,557793,17.95168943768086,3.582549048197481,SOUTH,East South Central,2,Metro,0
01055,Etowah,AL,4.779022268399516,0,104317,0.4828934881179482,0.158852344296711,0.0710430706404517,168,22.10745195,23.04520427,729002,4.655717691603954,0,SOUTH,East South Central,3,Metro,3
01065,Hale,AL,31.076941889776872,13.866702253022005,15750,0.47549206349206347,0.1523809523809524,0.06933333333333333,33,32.85794035,30.19627579,109285,31.048625420520597,13.837736084395885,SOUTH,East South Central,3,Metro,0
01089,Madison,AL,4.716000675329964,0,334661,0.49090871060565766,0.12340846408753933,0.053358473201239466,409,16.91928365,17.26393261,2369101,10.464307060611322,0,SOUTH,East South Central,2,Metro,9
01113,Russell,AL,17.774000765876874,0.6949244654394159,53938,0.48155289406355445,0.1260706737365123,0.055359857614297896,119,30.70260575,30.65730288,388162,17.891346066634767,1.2747460205899186,SOUTH,East South Central,2,Metro,0
