GEOID,dist_nsg_cent,dist_nsg_min,dist_trm_cent,dist_trm_min,dist_nsg_cent.npiAddress,dist_nsg_min.npiAddress,dist_nsg_cent.facility,dist_nsg_min.facility
47143,39.866179350843865,28.346609273073778,21.16863068798337,13.095092296688991,39.85616570853407,28.33333079428139,39.787445697150304,28.2602594622871
47185,15.359184810679107,5.501016947869093,62.43454350596753,49.55702267008413,15.367418848705269,5.509142821273536,50.85897778742698,43.57913009330446
48289,51.214369429379914,26.992461065664575,25.914217582033675,8.435622832106796,47.122138296624044,22.53496543121816,36.282333997825155,22.67608536945769
29125,43.86203022225586,26.4550378128472,54.243171783931245,41.73592528750939,58.19346702973096,45.1282323803252,54.243171783931245,41.73592528750939
37033,24.815926602334258,12.951932831645527,32.08872105112853,18.051499558104464,21.993885872149132,12.406024650999672,32.08872105112853,18.051499558104464
31057,139.388890999586,135.44098843866172,4.815680428434684,0,139.51177308346536,135.41888017777507,138.06120492520176,135.4831689375386
05063,51.104771792253636,28.025456479134782,1.9629322353623637,0,51.104771792253636,28.025456479134782,34.78489041169516,19.480388576555356
05119,1.7480969183740822,0,1.60809103221956,0,1.8439313942204534,0,1.60809103221956,0
20013,51.44502559747887,32.712027604132956,3.644444216090651,0,51.445040963680064,30.35562837575248,52.32947115975115,30.241181024991683
51790,22.607676840194884,18.803513400855405,32.746701862454735,29.462498956562637,6.627451512983837,3.5788936500969144,32.746701862454735,29.462498956562637
42061,21.90712110114152,5.406177801004353,21.862668356297622,10.87278977913846,21.90712110114152,7.422776510843526,27.245348358463996,4.766565919432528
47179,2.0485692252825474,0,2.9049357193328036,0,2.0485692252825474,0,2.9049357193328036,0
42015,10.383670449427422,0,10.91979475517566,0,10.378319269526735,0,24.201418480201152,6.731340260414526
55043,74.14585696502148,51.30371432630946,10.877526436839876,0,74.11558821253973,51.269761405202225,74.11418846193247,51.265630199759414
39025,12.377635105284053,3.2692190234662175,15.788449884822175,10.621952831321149,11.484923951366639,2.337071977760464,7.5531695263246705,2.106938062443686
49003,29.086694611099883,11.210711606136844,10.141313598653433,0,29.139054657156247,11.26764691271858,29.208821691463907,11.358671666106796
01087,33.28436048191333,15.576092422740167,36.145213314394105,18.39031074255798,33.62383787341147,15.909841705205713,33.57757334055748,15.864336417856087
06049,112.52848524221896,65.410180920465,53.122936257285545,11.137103380274302,111.82942211865662,64.68905545804358,87.93605562306558,45.47467652821101
19167,43.113701310712315,20.522609056651,17.774034947807248,0.7150956627329657,43.25532048060079,20.522609056651,40.630212844591505,20.552859668521968
51131,36.68498178599597,15.512885992621934,36.70871741460428,15.540227656205568,37.5226947039639,17.116132059303286,34.727937617587294,21.38035705863734
28045,17.265822814922526,6.682913416271303,5.190453895323109,0,17.2660912655084,6.7708994304906485,17.343491164164867,7.579965022476761
05033,10.393762055499966,1.1531496174201705,5.146996723417426,0,10.865180529417868,1.4960701208359934,11.416432507163098,3.774464570403298
28127,31.76288809866627,16.461656645121632,7.982089032325678,0,31.76288809866627,16.461656645121632,33.99926874019984,16.395913269257743
